"Name","Release_Price","Max_Power","Memory","Memory_Bandwidth","Core_Speed","Manufacturer","Memory_Type","Release_Year","log_Memory_Bandwidth"
"Radeon R7 370 MSI Gaming 4GB Edition",184,110,4096,182.4,1020,"AMD","GDDR5",2015,5.20620207764023
"GeForce GTX 950 Gigabyte WindForce 2X OC 2GB Edition",169,100,2048,105.8,1102,"Nvidia","GDDR5",2015,4.6615505194242
"GeForce GTX 960 2GB",199,120,2048,112.2,1127,"Nvidia","GDDR5",2015,4.7202829930886
"GeForce GTX 1060 EVGA FTW+ ACX 3.0 3GB",249.99,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 560 Dataland X-Serial War 2GB",120,80,2048,112,1180,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 480 XFX Triple X OC 8GB",245,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 1050 PNY 2GB",120,75,2048,112.1,1354,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon R7 370",149,110,2048,179.2,925,"AMD","GDDR5",2015,5.18850250054083
"Radeon RX 470 XFX Single Fan Triple X 4GB",179,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"Radeon RX 470 MSI Gaming X 8GB",199,110,8192,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"GeForce GTX 970 EVGA FTW ACX 2.0 4GB Edition",369.99,160,4096,224.4,1216,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 560 HIS Green iCooler OC 2GB",109.99,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 460 Point of View TGT Beast 1GB Edition",279,160,1024,128.6,855,"Nvidia","GDDR5",2010,4.85670681180352
"Radeon RX 470 XFX RS Black Limited Edition 4GB",210,120,4096,224,926,"AMD","GDDR5",2016,5.41164605185504
"GeForce GTX 560 Asus DirectCU II TOP 1GB Edition",219,150,1024,134.4,925,"Nvidia","GDDR5",2011,4.90082042808905
"Radeon RX 480 PowerColor Red Dragon 8GB",250,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 470 GIGABYTE G1 4GB",199,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
